Cond,Soil,Temp,Soil,Prerinse,Step,
41707.0,0.4007523148148148,???,???,???,???,???,E3/10,C3/30,G3*100,
41707.0,0.4474189814814815,0.0,1.48,13.0,64.9,1.0,E66/10,C66/30,G66*100,
41707.0,0.4481597222222222,0.0,1.54,14.0,65.4,1.0,E67/10,C67/30,G67*100,
41707.0,0.44890046296296293,0.0,1.43,15.0,65.8,1.0,E68/10,C68/30,G68*100,
41707.0,0.4496412037037037,0.0,1.37,13.0,65.9,1.0,E69/10,C69/30,G69*100,
41707.0,0.4503819444444444,0.0,1.37,12.0,66.0,1.0,E70/10,C70/30,G70*100,
41707.0,0.4511226851851852,0.0,1.36,11.0,66.1,1.0,E71/10,C71/30,G71*100,
41707.0,0.45186342592592593,0.0,1.36,11.0,66.1,1.0,E72/10,C72/30,G72*100,
41707.0,0.4526041666666667,0.0,1.34,11.0,66.2,1.0,E73/10,C73/30,G73*100,
41707.0,0.4533449074074074,0.0,1.34,11.0,65.9,1.0,E74/10,C74/30,G74*100,
41707.0,0.4540856481481481,0.0,1.33,11.0,65.7,1.0,E75/10,C75/30,G75*100,
41707.0,0.4548263888888889,0.0,1.35,11.0,65.7,1.0,E76/10,C76/30,G76*100,
41707.0,0.4555671296296296,0.0,1.38,11.0,65.7,1.0,E77/10,C77/30,G77*100,
41707.0,0.4563078703703704,0.0,1.42,11.0,65.7,1.0,E78/10,C78/30,G78*100,
41707.0,0.4570486111111111,0.0,1.42,12.0,65.7,1.0,E79/10,C79/30,G79*100,
41707.0,0.4577893518518519,0.0,1.32,12.0,65.5,1.0,E80/10,C80/30,G80*100,
41707.0,0.4585300925925926,0.0,1.33,11.0,65.6,1.0,E81/10,C81/30,G81*100,
41707.0,0.45927083333333335,0.0,1.33,10.0,65.6,1.0,E82/10,C82/30,G82*100,
41707.0,0.46001157407407406,0.0,1.33,10.0,65.6,1.0,E83/10,C83/30,G83*100,
41707.0,0.46075231481481477,0.0,1.31,10.0,66.0,1.0,E84/10,C84/30,G84*100,
41707.0,0.4614930555555556,0.0,1.29,10.0,66.2,1.0,E85/10,C85/30,G85*100,
41707.0,0.4622337962962963,0.0,1.28,10.0,66.8,1.0,E86/10,C86/30,G86*100,
41707.0,0.46297453703703706,0.0,1.29,10.0,67.3,1.0,E87/10,C87/30,G87*100,
41707.0,0.46371527777777777,0.0,1.31,9.0,67.7,1.0,E88/10,C88/30,G88*100,
41707.0,0.46445601851851853,0.0,1.33,9.0,67.6,1.0,E89/10,C89/30,G89*100,
41707.0,0.46519675925925924,0.0,1.32,9.0,67.2,1.0,E90/10,C90/30,G90*100,
41707.0,0.4659375,0.0,1.19,9.0,66.7,1.0,E91/10,C91/30,G91*100,
41707.0,0.46667824074074077,0.0,1.18,8.0,66.2,1.0,E92/10,C92/30,G92*100,
41707.0,0.4674189814814815,0.0,1.17,8.0,66.2,1.0,E93/10,C93/30,G93*100,
41707.0,0.46815972222222224,0.0,1.17,8.0,65.6,0.0,E94/10,C94/30,G94*100,
41707.0,0.46890046296296295,0.0,1.11,8.0,64.2,0.0,E95/10,C95/30,G95*100,
41707.0,0.4696412037037037,0.0,1.05,8.0,64.0,0.0,E96/10,C96/30,G96*100,
41707.0,0.4703819444444444,0.0,1.02,7.0,64.2,0.0,E97/10,C97/30,G97*100,
